,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Colorectal cancer Homo sapiens hsa05210,0.50998205,0.22504699,0.24948174,0.2364273,0.6970521,0.6737332,0.8767179,0.783238,0.5992012,0.8075331,1.0121536,1.007918,0.854,0.87333333,0.992,0.82479787,0.373,0.432
Complement and coagulation cascades Homo sapiens hsa04610,0.618017,-0.21727087,0.58447343,0.30826697,0.70262486,0.6951089,1.0533979,-0.56864405,1.370581,0.9559157,1.0079648,1.0283209,0.37,0.97536945,0.013013013,0.535109,0.418,0.285
Cysteine and methionine metabolism Homo sapiens hsa00270,0.6166534,-0.3766993,0.38992757,0.39531147,0.7284839,0.7030461,1.0463998,-0.9743831,0.9148797,1.2185814,1.0385175,1.033526,0.3873874,0.52875,0.681,0.16120906,0.248,0.273
Cytokine-cytokine receptor interaction Homo sapiens hsa04060,0.5852099,-0.28081253,0.42704815,-0.2693088,0.67811966,0.65640515,1.0242645,-0.84032923,1.0589198,-0.9645578,0.99965066,0.99835885,0.374,0.79481643,0.317,0.5281385,0.5,0.514
Cytosolic DNA-sensing pathway Homo sapiens hsa04623,0.63730603,-0.23994741,0.42995206,0.3068258,0.73729146,0.7218093,1.0796223,-0.60869354,1.0076308,0.95199794,1.0519615,1.060375,0.307,0.9620733,0.506,0.5254237,0.194,0.165
DNA replication Homo sapiens hsa03030,0.63297766,-0.18951876,0.41697553,-0.31961358,0.7443754,0.7295128,1.0687023,-0.4779312,0.9708874,-0.8916848,1.0610391,1.0725105,0.333,0.99497485,0.5665666,0.6571906,0.161,0.134
Dilated cardiomyopathy Homo sapiens hsa05414,0.5315248,-0.31138846,0.48217392,-0.23886158,0.6671083,0.6401249,0.9175353,-0.8877821,1.1699075,-0.79600495,0.97523946,0.9650546,0.791,0.66927373,0.103,0.8477905,0.745,0.799
Dopaminergic synapse Homo sapiens hsa04728,0.5011839,0.2568722,0.41350484,-0.26000088,0.65895367,0.6353015,0.8773172,0.98675174,1.0106817,-0.88608944,0.9686499,0.9637364,0.916,0.48051947,0.489,0.6983895,0.821,0.849
Dorso-ventral axis formation Homo sapiens hsa04320,0.53421575,-0.23509479,0.38888258,-0.23740794,0.73698264,0.7118443,0.89352834,-0.5555828,0.8637549,-0.612736,1.0320276,1.0246388,0.716,0.9662618,0.73353595,0.9396985,0.305,0.354
Drug metabolism - cytochrome P450 Homo sapiens hsa00982,0.7953149,-0.2688566,0.59858704,-0.3464734,0.7552782,0.7406231,1.3319052,-0.6647702,1.3676411,-0.9442538,1.0683606,1.0766947,0.013,0.88378036,0.024072217,0.51754385,0.16,0.136
Drug metabolism - other enzymes Homo sapiens hsa00983,0.7353322,0.3449748,0.50798076,-0.41710773,0.81951714,0.81324846,1.2285395,0.96390545,1.1364616,-1.0580952,1.1410084,1.1615582,0.11233701,0.48638132,0.28077313,0.37701976,0.051,0.04
ECM-receptor interaction Homo sapiens hsa04512,0.54079145,-0.24350466,0.33173877,0.20874418,0.66271085,0.644646,0.93065387,-0.6758783,0.80002546,0.73504186,0.9638321,0.9669275,0.746,0.9386574,0.913,0.9238845,0.806,0.757
Endocrine and other factor-regulated calcium reabsorption Homo sapiens hsa04961,0.55807155,-0.28823546,0.6121715,-0.15728816,0.6782968,0.65175384,0.94798076,-0.74059045,1.4099573,-0.44341567,0.9684248,0.9586418,0.642,0.85625774,0.008008008,0.9966887,0.689,0.731
Endocytosis Homo sapiens hsa04144,0.5878274,-0.2607833,0.35612723,-0.23735552,0.6763062,0.655097,1.037209,-0.80241805,0.8879111,-0.89658886,1.0042788,1.0043949,0.278,0.8913934,0.913,0.74058574,0.418,0.421
Endometrial cancer Homo sapiens hsa05213,0.5342955,0.23533854,0.3950286,-0.2727374,0.69082594,0.6508067,0.91295046,0.7976301,0.9473395,-0.835138,0.99799126,0.9671788,0.748,0.7751196,0.634,0.73344374,0.518,0.734
Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120,0.58949775,0.25626743,0.28538308,-0.27198127,0.6778563,0.6497001,1.0113372,0.887317,0.68313926,-0.8378833,0.9805204,0.9682026,0.49,0.61538464,0.968,0.72923076,0.645,0.727
Epstein-Barr virus infection Homo sapiens hsa05169,0.59878194,-0.30891824,0.4107437,-0.3385926,0.6572153,0.62990725,1.0550882,-0.93354076,1.0163598,-1.2316943,0.9732613,0.9626361,0.234,0.6367432,0.448,0.09476662,0.835,0.902
ErbB signaling pathway Homo sapiens hsa04012,0.57174486,-0.23781477,0.31433186,-0.2788322,0.72331303,0.69184405,0.99121207,-0.67473865,0.7681532,-0.92648613,1.0579019,1.0417517,0.552,0.94266057,0.941,0.60413355,0.081,0.147
Estrogen signaling pathway Homo sapiens hsa04915,0.57007104,-0.28994834,0.44778323,-0.4048367,0.63847363,0.62832266,0.99001974,-0.8286124,1.0948625,-1.343843,0.9343406,0.9480825,0.541,0.76707727,0.229,0.06771654,0.97,0.922
Ether lipid metabolism Homo sapiens hsa00565,0.4830422,-0.37828636,0.63279426,0.26628086,0.7168552,0.6899597,0.8161761,-0.94334453,1.4386812,0.79007924,1.0153427,1.0063183,0.877,0.5542636,0.01004016,0.780303,0.381,0.444
Fanconi anemia pathway Homo sapiens hsa03460,0.62517184,-0.40820032,0.40609044,-0.28147632,0.74878836,0.72028613,1.0769908,-1.0836145,0.96516305,-0.84164894,1.0774184,1.0686721,0.266,0.348865,0.582,0.7211221,0.073,0.094
Fat digestion and absorption Homo sapiens hsa04975,0.69123495,0.39008197,0.46655065,0.46028036,0.72372746,0.71410674,1.1578054,1.055827,1.0233277,1.2084495,1.0085373,1.0223624,0.22244489,0.37800688,0.48076922,0.22489083,0.448,0.382
Fatty acid degradation Homo sapiens hsa00071,0.6371618,0.28358337,0.45242622,-0.39116713,0.7047164,0.69439083,1.0873905,0.92273635,1.0695076,-1.134854,1.009975,1.0223085,0.271,0.6010101,0.3913914,0.2642487,0.416,0.358
Fatty acid elongation Homo sapiens hsa00062,0.7183023,-0.44552407,0.47436395,0.28336295,0.6638824,0.6543172,1.1797323,-0.99760294,1.0422541,0.7285142,0.9196169,0.9312477,0.17706238,0.48005697,0.44591838,0.8711217,0.838,0.78
Fatty acid metabolism Homo sapiens hsa01212,0.59392476,-0.26650617,0.51416075,-0.25792634,0.6718925,0.66385573,1.015738,-0.701404,1.2218639,-0.76949733,0.9653806,0.9816174,0.479,0.8785276,0.11411411,0.8293461,0.731,0.607
Fc epsilon RI signaling pathway Homo sapiens hsa04664,0.55215883,-0.26254046,0.4508081,-0.35898247,0.62270415,0.6171999,0.94826657,-0.7159464,1.0681396,-1.0720444,0.90221864,0.9204283,0.673,0.884434,0.364,0.36378467,0.984,0.941
Fc gamma R-mediated phagocytosis Homo sapiens hsa04666,0.5838725,-0.3491615,0.44320083,-0.37201253,0.69258374,0.65531087,1.0114659,-0.9765632,1.0631784,-1.1975763,1.0116532,0.9859093,0.467,0.5116009,0.34,0.18652038,0.381,0.618
Focal adhesion Homo sapiens hsa04510,0.5263506,-0.22873528,0.34646976,-0.24186344,0.67075014,0.65545005,0.9226407,-0.6926089,0.86224025,-0.88477236,0.9924516,1.0011258,0.868,0.9676747,0.916,0.7111756,0.604,0.482
