,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
241,Systemic lupus erythematosus Homo sapiens hsa05322,0.33520263,1.0020609,0.4729064,1.0,22,0.27272728,0.17772987,C7;C2;C5;CD80;ACTN2;HLA-DMA
242,T cell receptor signaling pathway Homo sapiens hsa04660,0.24794813,0.9558582,0.54113925,1.0,74,0.24324325,0.16256598,NFATC2;NFKBIA;RASGRP1;MAPK12;CARD11;CBLB;AKT2;KRAS;PAK6;PPP3CC;PIK3R5;MALT1;CD3E;VAV3;NFKBIE;CD247;FYN;PLCG1
243,TGF-beta signaling pathway Homo sapiens hsa04350,-0.28858632,-0.95062464,0.5372907,1.0,62,0.22580644,0.15201071,SMURF1;ACVR1B;BMP2;ID2;INHBB;DCN;FST;ID1;TGFBR2;LEFTY2;MYC;LTBP1;ID3;BMPR1B
244,TNF signaling pathway Homo sapiens hsa04668,-0.2167931,-0.76487356,0.88579386,1.0,87,0.2413793,0.25377238,ITCH;ATF4;RELA;FOS;CEBPB;TNFAIP3;EDN1;AKT1;CASP8;CREB5;PIK3CD;BAG4;MAP2K3;MMP14;CREB3L4;PIK3CB;CREB3L3;TRAF5;PIK3R3;AKT3;MLKL
245,Taste transduction Homo sapiens hsa04742,0.31779668,1.0974631,0.27586207,1.0,40,0.2,0.056195643,PKD1L3;GABRA2;ITPR3;CACNA1A;GRM4;GABRA1;GNB3;HTR1B
246,Terpenoid backbone biosynthesis Homo sapiens hsa00900,-0.21973233,-0.5675548,0.9718543,1.0,19,0.15789473,0.13350183,FDPS;NUS1;FNTA
247,Thyroid cancer Homo sapiens hsa05216,-0.37833154,-1.0268428,0.42255893,1.0,23,0.2173913,0.11900691,RXRG;CCND1;MAP2K2;MYC;NRAS
248,Thyroid hormone signaling pathway Homo sapiens hsa04919,-0.24822617,-0.8839957,0.7056396,1.0,95,0.18947369,0.16776927,PFKFB2;ATP1B1;RXRG;MED4;ATP1A1;KAT2B;ACTB;CCND1;RCAN1;MED12L;MAP2K2;SLC16A2;PFKP;PIK3CD;MYC;NRAS;TBC1D4;AKT3
233,Sphingolipid metabolism Homo sapiens hsa00600,0.3421144,1.16139,0.21303259,1.0,34,0.1764706,0.064223595,ACER2;UGCG;SGPP1;SMPD3;ACER1;SGMS2
234,Sphingolipid signaling pathway Homo sapiens hsa04071,-0.23106284,-0.8207593,0.8067227,1.0,97,0.13402061,0.11476994,PRKCE;RELA;GNA12;ASAH2;MAP2K2;SGPP2;SPTLC2;PIK3CD;BCL2;PLD2;NRAS;FCER1G;AKT3
