,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
199,Proteasome Homo sapiens hsa03050,0.3218418,0.9855194,0.48181817,0.9749474069651436,38,0.21052632,0.10514366,PSMA6;PSMC5;PSMD12;PSME4;PSMD7;PSMD8;PSMD11;PSMB8
201,Protein export Homo sapiens hsa03060,0.37091374,1.0028241,0.4686941,0.9749474069651436,21,0.1904762,0.07680263,SRP14;SEC61B;SEC63;IMMP2L
202,Protein processing in endoplasmic reticulum Homo sapiens hsa04141,-0.22552577,-0.8968631,0.70277077,0.9749474069651436,136,0.19117647,0.15282236,BAG2;PRKCSH;UBE2J1;PREB;RRBP1;DNAJA2;DNAJA1;EIF2AK3;SEC61A2;EDEM3;DNAJC1;DNAJC5;DNAJC5G;SSR3;UBQLN4;SSR2;EIF2AK4;FBXO6;MAN1C1;NSFL1C;BAX;BAG1;CAPN1;SIL1;PDIA3;MAPK10
140,Malaria Homo sapiens hsa05144,-0.33161646,-0.9688598,0.503268,0.9749474069651436,25,0.44,0.31081188,TGFB2;ITGB2;SELP;TGFB1;CCL2;MYD88;COMP;CD81;TLR4;SDC1;IL18
118,Huntington's disease Homo sapiens hsa05016,-0.29254824,-1.1546397,0.15776081,0.9749474069651436,139,0.17985612,0.1469506,POLR2E;TBP;NDUFV2;POLR2F;NRF1;POLR2K;NDUFB7;SDHB;DCTN2;COX7B;HDAC1;UQCRC2;CREB3L3;TFAM;POLR2C;NDUFB1;NDUFA12;COX6C;SDHD;COX6B2;CREB3L4;SLC25A31;COX6A1;BAX;UQCR10
120,Inflammatory bowel disease (IBD) Homo sapiens hsa05321,-0.31893584,-0.99204534,0.47031963,0.9749474069651436,34,0.1764706,0.12033195,TGFB2;TGFB1;IL12RB2;RELA;IFNGR2;IL18
124,Insulin resistance Homo sapiens hsa04931,-0.27652118,-1.0072044,0.44604316,0.9749474069651436,80,0.2625,0.15955532,CRTC2;PIK3R2;TBC1D4;MLXIP;PPP1R3E;G6PC3;PRKAG1;RELA;IRS2;AKT1;PRKAB1;TRIB3;PIK3R3;CREB3L3;GFPT2;CREB3L4;PCK2;PIK3CB;MAPK10;PYGM;SLC27A2
126,Insulin signaling pathway Homo sapiens hsa04910,-0.28317207,-1.0881869,0.25575447,0.9749474069651436,104,0.26923078,0.18312064,PHKG1;PIK3R2;PRKAR2A;HK1;SOS1;PPP1R3E;PRKCI;G6PC3;PRKAG1;EIF4EBP1;IRS2;EXOC7;EIF4E2;SHC3;BAD;AKT1;PRKAB1;BRAF;RPTOR;PIK3R3;FBP2;PCK2;PIK3CB;NRAS;FLOT1;MAPK10;PKLR;PYGM
127,Intestinal immune network for IgA production Homo sapiens hsa04672,-0.32656375,-0.91108525,0.6038136,0.9749474069651436,22,0.18181819,0.11704376,TNFSF13B;TGFB1;ITGB7;MADCAM1
128,Jak-STAT signaling pathway Homo sapiens hsa04630,0.33698454,1.2147352,0.14357261,0.9749474069651436,94,0.19148937,0.13285837,PIAS4;LIFR;MYC;IL12RB1;CDKN1A;AKT2;PTPN11;PRL;AKT3;IL11;PIAS3;EPOR;STAT5B;PIK3R5;IL15;SOCS2;PIM1;SOS2
129,Legionellosis Homo sapiens hsa05134,0.36076844,1.0573168,0.36594203,0.9749474069651436,33,0.33333334,0.17505676,SAR1B;CLK1;TLR2;CYCS;EEF1G;ARF1;HSPA2;HSPA1B;NLRC4;VCP;HBS1L
131,Leukocyte transendothelial migration Homo sapiens hsa04670,0.32849166,1.169663,0.19786096,0.9749474069651436,84,0.23809524,0.17443044,CLDN11;NCF2;PRKCB;SIPA1;CDC42;MAPK12;RAP1B;MAPK13;PLCG2;PTPN11;RAC1;CLDN6;GNAI1;RAC2;CTNNA1;CXCR4;PTK2;PIK3R1;PIK3R5;MYL12A
132,Linoleic acid metabolism Homo sapiens hsa00591,-0.45404613,-1.1032252,0.33541667,0.9749474069651436,12,0.16666667,0.044155642,PLA2G4C;PLA2G12A
135,Longevity regulating pathway - mammal Homo sapiens hsa04211,-0.41746485,-1.5230095,0.014527845,0.9749474069651436,76,0.25,0.12886557,ATF2;PIK3R2;STK11;PRKAG1;ULK1;RELA;EIF4EBP1;IRS2;EIF4E2;SESN2;ADCY7;PRKAB1;RPTOR;PIK3R3;CREB3L3;CREB3L4;PIK3CB;NRAS;BAX
136,Longevity regulating pathway - multiple species Homo sapiens hsa04213,-0.31039935,-1.0460982,0.34920636,0.9749474069651436,52,0.21153846,0.14648086,PIK3R2;PRKAG1;IRS2;HDAC1;AKT1;ADCY7;PRKAB1;RPTOR;PIK3R3;PIK3CB;NRAS
