,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
152,NF-kappa B signaling pathway Homo sapiens hsa04064,0.30065674,1.0678145,0.3201133,1.0,64,0.265625,0.1265494,TNFAIP3;TNFRSF11A;LY96;TNFSF13B;PRKCB;TRAF2;RELA;ZAP70;ATM;CHUK;BCL10;BIRC2;CSNK2A2;BLNK;PLCG2;BCL2;UBE2I
153,NOD-like receptor signaling pathway Homo sapiens hsa04621,0.44882855,1.4126742,0.05882353,1.0,36,0.1388889,0.048467305,TNFAIP3;IL18;RELA;BIRC2;CASP8
154,Natural killer cell mediated cytotoxicity Homo sapiens hsa04650,-0.3081959,-0.96590084,0.4992248,1.0,57,0.2631579,0.1750167,ARAF;PIK3R5;KRAS;CASP3;PAK1;NFATC1;PLCG1;IFNGR1;MAP2K2;VAV3;SHC3;FAS;SH3BP2;TNFRSF10D;FCER1G
155,Neuroactive ligand-receptor interaction Homo sapiens hsa04080,0.21751818,0.8725841,0.7907801,1.0,145,0.2137931,0.19587323,CNR2;GABRP;GRM4;S1PR3;GPR156;ADRA1B;CHRM3;GABBR2;CHRNA5;PARD3;CHRNA9;LPAR2;HRH1;CGA;GABRB1;GRM2;OPRD1;HTR2B;ADRB3;GRIN1;GABRG2;GRIA2;GRIK4;PTGER4;GRM7;HRH2;ADCYAP1R1;GABRA2;ADRB2;GABRG3;P2RX3
156,Neurotrophin signaling pathway Homo sapiens hsa04722,-0.31375843,-1.080821,0.3090379,1.0,101,0.23762377,0.1542344,AKT3;PIK3R5;GAB1;SORT1;KRAS;CRKL;AKT2;MAGED1;RAP1B;PLCG1;MAP2K2;NTRK2;RPS6KA6;MAP3K3;SHC3;CALM1;IKBKB;TP73;CALM3;ARHGDIG;NFKBIA;BDNF;MAP2K5;MAPK9
157,Nicotinate and nicotinamide metabolism Homo sapiens hsa00760,-0.48899174,-1.2480972,0.18151261,1.0,21,0.23809524,0.12016626,NT5C;NAMPT;QPRT;NADK2;NUDT12
158,Nicotine addiction Homo sapiens hsa05033,0.46233618,1.4060066,0.06947891,1.0,31,0.2580645,0.12662362,SLC32A1;GABRP;GABRB1;GRIN1;GABRG2;GRIA2;GABRA2;GABRG3
159,Nitrogen metabolism Homo sapiens hsa00910,0.42219082,1.0689977,0.38636363,1.0,15,0.2,0.122021824,CA1;CA4;CA5B
144,Melanoma Homo sapiens hsa05218,-0.27660322,-0.86911845,0.6885759,1.0,58,0.15517241,0.14354636,ARAF;E2F3;AKT3;PIK3R5;KRAS;AKT2;MAP2K2;FGF8;FGF14
145,Metabolism of xenobiotics by cytochrome P450 Homo sapiens hsa00980,-0.38638064,-1.0884784,0.34949833,1.0,30,0.3,0.17984116,GSTM3;GSTO1;ALDH1A3;GSTM2;ALDH3B1;GSTM4;HSD11B1;CYP3A5;GSTP1
