,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
7149,4930432K21Rik,852.8504687263008,0.8897152083853701,0.0328610779193991,27.075046368461848,1.937442219672228e-161,1.6856711212750208e-159,True
7162,Rad23a,21.19705996210833,-2.1574988763138747,0.226272834335216,-9.534944319111716,1.4996602358617766e-21,1.1563517726962411e-20,True
7164,1700122E12Rik,45.15486624346381,-0.5554252559145388,0.1045420329440156,-5.312937201173238,1.0787222062314313e-07,3.7729387885150533e-07,True
7166,Syce2,55.363674496382735,-0.5525503935906702,0.1024640121322154,-5.392628905431511,6.943425436836574e-08,2.470531516569644e-07,True
7169,Dnase2a,732.0294060072606,-2.449137634566999,0.0813899708851581,-30.09139342269515,6.279702181108889e-199,7.521878886522759e-197,True
7174,Asna1,76.18238665469222,1.3378664077849307,0.1050546138632912,12.734960974925974,3.780350721896955e-37,4.963271278118165e-36,True
7178,Fbxw9,10.248548331670682,-1.355905879179346,0.2318581536992901,-5.847997396450833,4.975263390076794e-09,1.9508387032659863e-08,True
7180,Wdr83,15.358342129511286,0.9664660177906184,0.1844827403206054,5.238788279657134,1.6163433925187537e-07,5.564293946529127e-07,True
7182,Man2b1,17.63241912722557,-2.376941727115876,0.2151488827991006,-11.04789249282503,2.2442148631208704e-28,2.269914952357304e-27,True
7184,Orc6,128.6038561973026,1.1289466579141747,0.0673082817519425,16.77277488786277,3.860513513744023e-63,9.18539596304156e-62,True
7186,Neto2,58.402177269617546,0.5602105197898667,0.0888434903476354,6.305588823647297,2.871002942910679e-10,1.2260830150335032e-09,True
7190,Lonp2,84.68041510843726,0.645509634468606,0.0732359956684647,8.814103345993852,1.206467278154301e-18,8.209610801697437e-18,True
7197,Cnep1r1,144.87976344962195,-0.5523378988271225,0.0572305186336147,-9.651107695933105,4.862759155373269e-22,3.827179662878836e-21,True
7198,Tent4b,26.816787109074124,0.6833055693308127,0.1449197844888043,4.715060622958633,2.416387934760743e-06,7.396777910571656e-06,True
7200,Brd7,22.633275568212312,-0.7319522741335855,0.151483644557307,-4.831889781056094,1.3524312542138602e-06,4.246959557136288e-06,True
7204,Sall1,27.71053988837347,-1.2375287590594777,0.1354483929573508,-9.136533347052282,6.448634644634221e-20,4.656223066282546e-19,True
7207,Chd9,248.73917117331985,1.7121480902273265,0.0631489593086812,27.11284728950319,6.94753002025217e-162,6.074920249708497e-160,True
7208,Rbl2,249.8298626020825,1.0189368526991895,0.0535801790871417,19.01704828276164,1.2322863657242623e-80,3.9325226211288136e-79,True
7214,Irx3,21.66428470724711,-0.6391641341010958,0.1632815142894013,-3.914491710116288,9.059485007880851e-05,0.0002311530111144,True
7216,Irx5,40.5662553112658,-0.565632601014434,0.1090444051414263,-5.187176731175072,2.1350609594724082e-07,7.267019474358401e-07,True
7226,Gm45774,73.97465481398292,0.5540284721011601,0.082360099240585,6.726903891686282,1.733111285974752e-11,8.097421899312439e-11,True
7227,Mt2,48.86231032114132,-3.237194914964509,0.1514707343904507,-21.371751632364138,2.4477557199816832e-101,1.041517081047194e-99,True
7229,Gm39228,87.96929619346896,1.4927786718468607,0.0891601690805618,16.74266308869424,6.405708810201135e-63,1.5138248063891546e-61,True
7230,Nup93,40.21904393880096,1.040052041903374,0.1090570921157292,9.536766676299155,1.4735489186751697e-21,1.1367191658487588e-20,True
7234,Rspry1,472.5017080832603,1.2970416438334318,0.0415310082319715,31.230680377148627,4.084897060615307e-214,5.761022564196813e-212,True
7243,Adgrg1,39.21002591535747,-1.897595347476384,0.1509877253087616,-12.567878240406,3.1712067846489107e-36,4.0245329644368754e-35,True
7247,Gm31036,459.2561993204274,-1.0864747796774632,0.0466087172013744,-23.310548861135008,3.465433621634397e-120,1.9239207357188045e-118,True
7250,Usb1,14.925553091600884,-1.3789611153932226,0.1912327463369567,-7.210904731574892,5.558133268800377e-13,2.833011792619673e-12,True
7253,Csnk2a2,64.96573267453441,0.6211815007449063,0.0866087398607004,7.172272703008964,7.376282078606515e-13,3.724990499297451e-12,True
7256,Gins3,60.18855729032014,-2.409840791822468,0.1177899314359589,-20.458801210294208,5.015637956404847e-93,1.9362798362385866e-91,True
7262,Sap18b,189.20814505196384,-2.8378301469123763,0.0800599778989846,-35.446301902468655,3.3073150250305685e-275,7.415169892017254e-273,True
7266,Tk2,78.75351181169775,0.8647109401393329,0.0779488948750171,11.093305960601572,1.3519711278538558e-28,1.3762090270028071e-27,True
7267,Cklf,1137.3854645902106,-0.5388910110506472,0.05436403617346,-9.912638004492536,3.668302163865874e-23,3.018883211373478e-22,True
7268,Cmtm3,11.98767800315992,-1.4135256382860502,0.2342056400407889,-6.035403921271378,1.5856555177406906e-09,6.423429162439008e-09,True
7269,Cmtm4,2679.2378457750333,-1.3275344759487595,0.0383613584917704,-34.60603399208479,2.0500154679731624e-262,4.372032988282276e-260,True
7271,Terb1,407.7442767381289,0.699652514405459,0.0435286481068793,16.073380287105312,3.921086183345401e-58,8.550119099045433e-57,True
7272,Nae1,232.5300627505252,0.675097369485966,0.0592136278412935,11.401047260529038,4.131193216511405e-30,4.41333579537883e-29,True
7281,Fbxl8,81.08642405378036,-0.5231541984965433,0.0798260022615496,-6.553681553316801,5.6135610031580746e-11,2.5268971640470633e-10,True
7283,4931428F04Rik,1721.2146496175703,1.187023130755703,0.0272968027767411,43.48579357312615,0.0,1e-300,True
7288,Tmem208,25.76873149212116,-0.6766312075558405,0.139584528614638,-4.847465648745852,1.2504867657105892e-06,3.941692963004106e-06,True
7289,Fhod1,29.373330342138285,-1.4922921345550493,0.1412833257902007,-10.562408028043134,4.45094832087077e-26,4.129346643787162e-25,True
7293,Zdhhc1,160.9698353108348,-0.9040630966001876,0.0632181400428043,-14.300691162189455,2.1664715625439477e-46,3.6186489671221164e-45,True
7294,Hsd11b2,140.05926672029278,-0.7304405628122875,0.0645534675505434,-11.315280038835628,1.1024971474460473e-29,1.1593788403208943e-28,True
7296,Gm38250,57.031052394757324,-0.8284103590832336,0.0942043009583722,-8.793763667428495,1.4463163298976826e-18,9.799759774215683e-18,True
7297,Ripor1,65.92534110685999,-1.1266708852162588,0.110124146186901,-10.230915963735056,1.4414945479041075e-24,1.264869877257754e-23,True
7298,Gm5914,131.60829184067535,-3.912039324550385,0.1096060213088537,-35.69182858601199,5.293239616563894e-279,1.2180022949272287e-276,True
7302,Pard6a,652.9419447774435,0.8121458389237458,0.0368310934374114,22.050549226942103,9.437153428274418e-108,4.40098504409768e-106,True
