,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
186,Phosphatidylinositol signaling system Homo sapiens hsa04070,0.23511028,0.8670514,0.71960783,0.9967153945577488,65,0.41538462,0.31191292,MTMR3;ITPR3;DGKQ;ITPKA;INPP1;DGKA;PLCB4;PLCD4;PRKCB;PLCB1;DGKG;ITPKC;DGKH;PLCG2;DGKD;ITPK1;MTMR2;ITPKB;INPP4B;SYNJ1;PLCD3;PIK3CA;PIP4K2C;IMPA2;PIK3R1;DGKB;PIP5K1C
187,Phospholipase D signaling pathway Homo sapiens hsa04072,0.29807255,1.1825842,0.16195858,0.9967153945577488,102,0.2647059,0.16284786,SOS2;MRAS;GAB2;RALA;DGKQ;DNM3;PTPN11;CXCR2;MAP2K2;PLCG2;KRAS;DGKD;PLD1;AKT2;LPAR3;ADCY8;CYTH4;GAB1;PDGFB;AGPAT3;AGPAT1;AKT3;GRM4;GNAS;ADCY1;PIK3R1;PDGFD
188,Phototransduction Homo sapiens hsa04744,0.5111368,1.2936447,0.15992293,0.9967153945577488,13,0.23076923,0.08436485,GNAT2;SLC24A1;SAG
189,Platelet activation Homo sapiens hsa04611,0.2727459,1.0333697,0.40892193,0.9967153945577488,83,0.30120483,0.21192169,MYLK3;LYN;ITPR3;VASP;COL1A1;MYL12A;ITGB3;PLCB4;ORAI1;MAPK12;PPP1CA;PLA2G4B;PLCG2;TLN1;AKT2;PRKCZ;ADCY8;PIK3CA;AKT3;GNAS;ADCY1;BTK;PIK3R1;MAPK13;NOS3
191,Primary bile acid biosynthesis Homo sapiens hsa00120,-0.76223636,-1.7150937,0.012631579,0.9967153945577488,9,0.11111111,0.00026336583,HSD17B4
192,Primary immunodeficiency Homo sapiens hsa05340,-0.31698343,-0.8153807,0.69979715,0.9967153945577488,14,0.2857143,0.1363357,ZAP70;BLNK;RFX5;AIRE
193,Prion diseases Homo sapiens hsa05020,0.4406861,1.1567552,0.28764477,0.9967153945577488,15,0.06666667,0.0006145202,EGR1
194,Progesterone-mediated oocyte maturation Homo sapiens hsa04914,-0.24627422,-0.891061,0.6673684,0.9967153945577488,59,0.37288135,0.26152226,AKT1;GNAI3;MAPK8;PIK3R2;CDC16;MAPK9;CDK2;MAPK10;ADCY7;CPEB1;ADCY9;ANAPC7;PIK3R5;SPDYA;CDC23;PIK3CB;ARAF;CPEB4;PIK3CD;MAD2L2;PIK3R3;CDK1
195,Prolactin signaling pathway Homo sapiens hsa04917,-0.2687707,-0.95672613,0.5102041,0.9967153945577488,57,0.40350878,0.2634536,SHC3;AKT1;SHC1;STAT5A;RELA;CGA;MAPK8;PIK3R2;MAPK9;GALT;MAPK10;STAT5B;CISH;CCND2;NRAS;FOS;SLC2A2;PIK3R5;SHC4;PIK3CB;PIK3CD;PIK3R3;SOS1
196,Propanoate metabolism Homo sapiens hsa00640,-0.4975124,-1.4647336,0.07471264,0.9967153945577488,24,0.5,0.31621456,HIBCH;SUCLG1;LDHC;ABAT;PCCB;LDHB;MCEE;SUCLA2;LDHAL6B;ACSS1;ACACA;MLYCD
