,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
150,N-Glycan biosynthesis Homo sapiens hsa00510,-0.3284684,-1.0195012,0.45190156,1.0,39,0.17948718,0.10085673,RPN1;ALG13;ALG6;MGAT4A;MAN1C1;ALG5;ALG14
151,NF-kappa B signaling pathway Homo sapiens hsa04064,0.24861291,0.78419644,0.82630694,1.0,61,0.16393442,0.13656798,TIRAP;TICAM1;BIRC2;CSNK2A2;UBE2I;IKBKB;TRIM25;PIDD1;BTK;RIPK1
136,Lysine degradation Homo sapiens hsa00310,-0.32307696,-0.97101873,0.4878049,1.0,33,0.24242425,0.19509712,GCDH;ALDH9A1;PHYKPL;KMT2C;KMT2A;PIPOX;ASH1L;ALDH1B1
137,Lysosome Homo sapiens hsa04142,0.34047115,1.1670295,0.18811882,1.0,89,0.16853933,0.118585125,CTNS;AP1S1;NAPSA;M6PR;ATP6V0B;GGA3;AP1S2;AP4S1;DNASE2;AP3B2;AP4E1;CTSW;SORT1;GM2A;HGSNAT
138,MAPK signaling pathway Homo sapiens hsa04010,0.22529727,0.8431223,0.83664775,1.0,184,0.1521739,0.1307999,DUSP6;NTRK2;TAOK2;MAPK8IP2;MAPT;AKT2;MAPK8IP3;FGF14;CACNA2D1;RRAS;NTF4;NFATC3;MAP4K4;CACNA1G;MAX;CACNA2D2;IKBKB;FGF5;AKT3;RAC1;TAOK1;ECSIT;FGF2;ARRB1;BRAF;HSPB1;FGF8;MAP3K1
139,Malaria Homo sapiens hsa05144,0.3841055,0.960266,0.5072464,1.0,19,0.05263158,0.0010178981,THBS1
140,Maturity onset diabetes of the young Homo sapiens hsa04950,-0.5350524,-1.2539333,0.17672414,1.0,12,0.16666667,0.0028840445,HNF1A;HNF1B
141,Measles Homo sapiens hsa05162,-0.21720935,-0.7785719,0.9012048,1.0,74,0.13513513,0.14878276,CCNE2;TLR4;TNFRSF10D;TACR1;CSNK2A1;OAS1;SLAMF1;MYD88;PIK3CB;IFIH1
142,Melanogenesis Homo sapiens hsa04916,-0.17467724,-0.61496645,1.0,1.0,71,0.112676054,0.12571041,FZD6;CREB3L3;FZD7;MAP2K2;PLCB4;WNT3A;WNT16;MC1R
143,Melanoma Homo sapiens hsa05218,0.30328485,0.9236496,0.5815832,1.0,49,0.2857143,0.20926288,AKT2;CDKN1A;CCND1;FGF14;KRAS;IGF1;FGF5;AKT3;E2F3;EGF;NRAS;FGF2;BRAF;FGF8
