,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.49352777,-0.28055897,0.26101822,-0.25492606,0.3649769,0.3171006,0.86707765,-0.8031292,0.6998213,-0.75253004,0.69599885,0.6919662,0.7667668,0.7175,0.8922457,0.8204593,0.997,0.996
Carbon metabolism Homo sapiens hsa01200,0.56631875,-0.2812624,0.25933114,-0.32026565,0.51108676,0.43983668,1.0426391,-1.0044762,0.7545131,-1.1761546,1.0261023,1.0227919,0.358,0.37950137,0.939,0.19675456,0.354,0.383
Cardiac muscle contraction Homo sapiens hsa04260,0.5351699,0.29452834,0.4961972,-0.27984425,0.6052341,0.52769625,0.9776867,0.9071216,1.415965,-0.9624197,1.1954187,1.2008814,0.566,0.55573773,0.012,0.48496994,0.018,0.026
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.47637865,0.25488704,0.3329628,0.23540756,0.5165096,0.4313416,0.8682009,0.8509171,0.9587512,0.86879146,1.0337707,1.0015209,0.866,0.6883117,0.603,0.7137331,0.318,0.475
Cell cycle Homo sapiens hsa04110,0.59351385,0.22738981,0.31926188,0.20696265,0.45603836,0.3814172,1.1029289,0.7981526,0.9405931,0.8000475,0.9195819,0.8906721,0.149,0.8021472,0.641,0.88073397,0.895,0.942
Central carbon metabolism in cancer Homo sapiens hsa05230,0.557254,-0.32381588,0.35338902,-0.3138325,0.5952376,0.50103337,1.0074414,-1.0908507,0.98871994,-1.0928692,1.1790322,1.1481665,0.477,0.28165373,0.532,0.30833334,0.033,0.089
Chagas disease (American trypanosomiasis) Homo sapiens hsa05142,0.64350873,0.27533406,0.23582575,0.3177391,0.44849092,0.32269853,1.172287,0.9097524,0.6779983,1.1563151,0.8963441,0.7458851,0.069,0.58842444,0.957,0.23300971,0.914,1.0
Chemical carcinogenesis Homo sapiens hsa05204,0.6051938,-0.41863573,0.35486472,-0.41118172,0.53289807,0.52034444,1.0805689,-1.275185,0.9586556,-1.245445,1.0133258,1.1389282,0.312,0.14492753,0.58592963,0.16699801,0.437,0.132
Chemokine signaling pathway Homo sapiens hsa04062,0.57381403,-0.31396464,0.37731567,0.26174128,0.49004552,0.38667056,1.0645529,-1.16068,1.1161532,1.0365603,0.9951367,0.9119639,0.262,0.232493,0.212,0.392233,0.516,0.892
Choline metabolism in cancer Homo sapiens hsa05231,0.4818267,0.26122284,0.38101247,0.23389919,0.5066629,0.39844155,0.8781647,0.870654,1.1104616,0.8711649,1.018711,0.93006593,0.852,0.6392694,0.254,0.68992245,0.396,0.798
Cholinergic synapse Homo sapiens hsa04725,0.5011164,0.40192017,0.3734719,0.28460267,0.4713647,0.39206043,0.9212887,1.3381357,1.079038,1.052111,0.94266105,0.9092071,0.747,0.118827164,0.323,0.37236086,0.778,0.858
Chronic myeloid leukemia Homo sapiens hsa05220,0.5831503,0.25593206,0.35796097,-0.22276312,0.4337592,0.33726966,1.0668975,0.83396274,1.0163529,-0.80284506,0.8621624,0.77635187,0.314,0.6893204,0.488,0.8276553,0.964,0.995
Circadian entrainment Homo sapiens hsa04713,0.48300943,0.4185595,0.38601696,0.39116895,0.4896241,0.42274308,0.88452417,1.3688852,1.1048431,1.4129481,0.9724263,0.97321343,0.808,0.08809892,0.279,0.044145875,0.621,0.611
Circadian rhythm Homo sapiens hsa04710,0.61572164,0.4310848,0.38033727,0.357535,0.48833475,0.43842655,1.0760434,1.177248,1.0107522,1.0380205,0.91442865,0.9370985,0.34334335,0.2359155,0.4839034,0.3919192,0.752,0.661
Citrate cycle (TCA cycle) Homo sapiens hsa00020,0.7218185,-0.35907114,0.33565518,-0.27412918,0.5204363,0.43952745,1.2647532,-0.9866549,0.861925,-0.7479071,0.9633346,0.9285641,0.078,0.45255473,0.7253306,0.8253638,0.6082164,0.6716717
Cocaine addiction Homo sapiens hsa05030,0.35149667,0.23586826,0.30018088,-0.3472178,0.53479034,0.473557,0.6318821,0.6829434,0.81827193,-1.1199998,1.0299233,1.047274,0.989,0.88907015,0.8018018,0.24266145,0.36,0.339
Collecting duct acid secretion Homo sapiens hsa04966,0.64956516,0.37830526,0.4861348,0.21415576,0.48811466,0.43588638,1.1363113,1.0014153,1.2495561,0.58604336,0.90120745,0.92127097,0.258,0.42602494,0.1729785,0.9692623,0.771,0.6756757
Colorectal cancer Homo sapiens hsa05210,0.47896048,0.2520138,0.17919438,0.29829085,0.41628194,0.3355266,0.86658806,0.80220574,0.5096134,1.0603408,0.8262708,0.7686354,0.836,0.72920066,0.998999,0.34971645,0.987,0.998
Complement and coagulation cascades Homo sapiens hsa04610,0.5490978,-0.41879758,0.4972685,-0.332725,0.48806557,0.40929136,0.98416007,-1.3037142,1.3595548,-1.0673366,0.9428707,0.9118157,0.542,0.10741688,0.039156627,0.35582823,0.705,0.766
Cysteine and methionine metabolism Homo sapiens hsa00270,0.5564266,0.19637969,0.26910564,0.28551948,0.5290737,0.48053488,0.98538315,0.5852916,0.73118937,0.9006987,1.0188069,1.0648634,0.53,0.9672131,0.8928929,0.61087865,0.409,0.3
Cytokine-cytokine receptor interaction Homo sapiens hsa04060,0.55318844,-0.22866635,0.40566358,-0.21943039,0.53345567,0.45909438,1.0341742,-0.83812577,1.1958275,-0.8808653,1.089881,1.093337,0.351,0.70111734,0.065,0.7358491,0.063,0.081
Cytosolic DNA-sensing pathway Homo sapiens hsa04623,0.6461585,0.27401707,0.4273649,-0.4030732,0.48016804,0.4575187,1.1549227,0.79256856,1.1692866,-1.2794005,0.9224394,1.0096724,0.17217217,0.7043919,0.23423423,0.14379086,0.757,0.437
DNA replication Homo sapiens hsa03030,0.64224404,-0.32657203,0.3154163,-0.2269144,0.53059596,0.4444499,1.1480241,-1.0087886,0.85782933,-0.70217174,1.0166504,0.97632,0.192,0.37413394,0.7357357,0.9006211,0.4,0.562
