Trophoectoderm,PE,Epiblast,Neural progenitors,Cardiac Mesoderm,Glia,Differentiated neurons,Ventral neurons,Spinal cord,Hindbrain,Forebrain,Dorsal neurons,Mesoderm,Retinoic acid,Neural,Caudal neurons,Motor neurons,Endoderm,Midbrain,ExE endoderm,Ectoderm,Smooth muscle cells,Endothelium,Hematopoietic,Metabolic genes,Retinoyated proteins,Pluripotency,Primitive streak,Nascent mesoderm,gr state mESCs,naiive mESCs,could be AVE Endoderm,Definitive endoderm,EMT,Paraxial mesoderm
,,,Pcm1,Mb,Slc1a2,Nsmce2,,,Hoxb3,Rbbp7,,Fgfr1,,,,Slc5a7,Cftr,,,,,,Tie2,,,,,Hoxb3,,,Efna5,,,
,,,Ninein,Mesp1,Slc1a3,Th,,,Nab2,Rbbp4,,Smad4,,,,D930028M14Rik,Hex,,,,,,Cd202b,,,,,,,,Krt19,,,
,,,Cdk5rap2,Myod,Sox2,Pvalb,,,Epha4,Lzts1,,Cdh11,,,,Onecut2,Cer1,,,,,,Cdh2,,,,,,,,Dbn1,,,
,,,Wdr62,Myf5,Zpf488,Calb1,,,Pax2,Nkx1,,Jag1,,,,B3glct,Lhx1,,,,,,Pecam1,,,,,,,,Pml,,,
,,,Akna,Pax7,Msx1,p08553,,,Pax5,Nkx2,,Fn1,,,,Kitl,Lim1,,,,,,Kdr,,,,,,,,Kmt2a,,,
,,,Dctn1,Msc,Mki67,p19246,,,Pax8,Emx1,,Pcdh7,,,,Il6st,Fzd5,,,,,,Flk1,,,,,,,,Krt8,,,
,,,Uhrf1,Myor,Hes5,Psd95,,,Pax3,Emx2,,Lrp5,,,,Ntm,,,,,,,Mcam,,,,,,,,Marcks,,,
,,,Brip1,Tbx1,Blbp,Syp,,,Pax7a,Pax6,,Lrp6,,,,Lsamp,,,,,,,Tek,,,,,,,,Marcksl1,,,
,,,Fancb,Pitx2,Pdgfra,Slc17a7,,,Pax7,Reln,,Flk1,,,,,,,,,,,Lyve1,,,,,,,,Stmn1,,,
,,,Rb1,Tcf21,Ng2,Slc17a6,,,En1,Vim,,Bmp2,,,,,,,,,,,Pdpn,,,,,,,,Prkaca,,,
,,,Ncam1,Tnni3,Sox10,Nmdar1,,,,Map2,,Bmp4,,,,,,,,,,,Flt4,,,,,,,,Mapk8,,,
,,,Tbr2,Ecad,Mpz,Nmdar2b,,,,Otx,,Bmp7,,,,,,,,,,,Sox17,,,,,,,,Efna5,,,
,,,Mash1,Vegfr2,Gap43,Gls,,,,Otx1,,Col6a1,,,,,,,,,,,Erg,,,,,,,,Plxna1,,,
,,,Neurod1,Tnnt2,Dhh,Gat1,,,,Otx2,,Col1,,,,,,,,,,,Esam,,,,,,,,,,,
,,,Stmn1,Ebf3,Glul,Gad65,,,,,,Col3a1,,,,,,,,,,,Fli1,,,,,,,,,,,
,,,,Isl1,,Gad67,,,,,,Col5,,,,,,,,,,,Kitlg,,,,,,,,,,,
,,,,Hand1,,Gabra1,,,,,,Dcn,,,,,,,,,,,Kit,,,,,,,,,,,
,,,,Srf,,Gabra2,,,,,,Npnt,,,,,,,,,,,Mecom,,,,,,,,,,,
,,,,Rspo3,,Dat,,,,,,Lum,,,,,,,,,,,Runx1c,,,,,,,,,,,
,,,,Fzd1,,Girk2,,,,,,Mgp,,,,,,,,,,,Timp3,,,,,,,,,,,
,,,,Sox4,,Nurr1,,,,,,Matn2,,,,,,,,,,,Dll4,,,,,,,,,,,
,,,,Cxxc4,,Lmx1b,,,,,,Col6a2,,,,,,,,,,,Gata2,,,,,,,,,,,
,,,,Fzd3,,Tph,,,,,,Col6a3,,,,,,,,,,,Runx1,,,,,,,,,,,
,,,,,,Pet1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Slc6a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Slc18a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
