,index,group,names,scores,logfoldchanges,pvals,pvals_adj,rank
9162,21830,RA_7d,A630089N07Rik,1.5762125,0.19067664,0.1152587388083226,0.16669470357861957,0.14836134007611274
9163,21305,RA_7d,Lgals8,1.8560913,0.19051251,0.06370283223427511,0.09929883459987883,0.19109468551267877
9164,24215,RA_7d,Ddx11,0.25501904,0.19039714,0.7987552251468778,0.8392413576514011,0.01449172106590766
9165,24053,RA_7d,Apex2,0.35778254,0.1902802,0.7205735068399108,0.7748090641601731,0.021084055928490424
9166,23220,RA_7d,Tnk1,0.8512022,0.19005811,0.39483882856493036,0.472873075902022,0.06181742972517313
9167,23521,RA_7d,Dnajc19,0.66701734,0.1898583,0.5049023530508534,0.5813610733943955,0.04472189225531924
9168,23906,RA_7d,AI662270,0.4346223,0.18980092,0.6639220617110133,0.7276537238895808,0.026206808028657165
9169,23909,RA_7d,Tln1,0.4326535,0.1896084,0.6653499982640374,0.7288300521606976,0.026047212135903358
9170,21630,RA_7d,Gm37679,1.6772665,0.18952367,0.09377108010245058,0.1394449822569624,0.1621559015849651
9171,22661,RA_7d,Gm10544,1.1366303,0.1892683,0.2559355502790849,0.3297706069247573,0.09118720924633535
9172,23632,RA_7d,Phc1,0.60648143,0.1892416,0.5443178133823805,0.6183807994408059,0.039503049863015144
9173,23077,RA_7d,4930533K18Rik,0.9251014,0.18919276,0.35511310286949826,0.4328270014301959,0.06880669158036584
9174,20200,RA_7d,Epo,2.4537284,0.1889454,0.014291533969777299,0.02640950644691281,0.29820113067386095
9175,23557,RA_7d,Gm37768,0.645313,0.18881734,0.5188564035716681,0.5948098033135721,0.04260132301964808
9176,23513,RA_7d,Ebi3,0.6694944,0.1886359,0.5033209714420178,0.5800044453031775,0.04462534560953556
9177,24308,RA_7d,Ccdc9b,0.19543032,0.18859558,0.8450915001253636,0.8777968462673994,0.01067563823979656
9178,23691,RA_7d,Kcnip4,0.57793736,0.18837278,0.56342244874496,0.6357172821682349,0.0370597030476075
9179,24235,RA_7d,Cyp26b1,0.24070734,0.1879043,0.8098259653217175,0.8488274198264647,0.013375140655850043
9180,23039,RA_7d,Slc7a6,0.9422523,0.18771549,0.3462666638217672,0.4240445935159911,0.06994062553187354
