,0
546,Clic1
547,Gpbp1
548,Bms1
549,Mrps18a
550,Cbln3
551,Ubxn1
552,9330020H09Rik
553,Nfib
554,Erich6b
555,Nudt10
556,Gm20629
557,Jkamp
558,Rnf150
559,Psd
560,Tcim
561,Txndc16
562,Cbl
563,Mtx3
564,Pax5
565,Gm48727
566,D230022J07Rik
567,Kcng2
568,Dnm3os
569,Mrrf
570,Nlgn3
571,Tmcc3
572,Tm4sf19
573,Ddhd2
574,Zbtb33
575,Cacnb3
576,Cpne8
577,Gabarapl2
578,Gckr
579,Riiad1
580,1700024B18Rik
581,Gm12649
582,Fgd3
583,Trappc13
584,Fam168a
585,Lmbr1l
586,Bscl2
587,Pudp
588,Gm20650
589,Sncaip
590,Cep120
591,Bmp8a
592,Snx2
593,Srfbp1
594,Prr16
595,Zfp985
596,Nelfb
597,Spint1
598,Zfp934
599,Gm47782
