,names,rank,logfoldchanges,pvals_adj
259,Rad21,18.391644175833914,21.82475,0.14364925021568103
260,Tnfrsf1b,18.366207449880285,21.805088,0.14378381656666897
261,Mrpl4,13.64234065478889,21.791695,0.23657347588774255
262,Pcyt1a,13.623152972961213,21.776274,0.2368120795136473
263,Gm48703,17.176556392959263,21.775122,0.16262389823291085
264,Platr8,18.076570235351,21.746576,0.14748996634528289
265,Myo1d,15.023576574251319,21.741966,0.2037068419499412
266,Gm4969,22.430993393766645,21.740156,0.09294434843514966
267,1700094D03Rik,17.77164582061845,21.735798,0.15218748954201722
268,Dpep2nb,16.953140993795753,21.727169,0.16585409110027974
269,Gm36862,13.42375122855562,21.682203,0.2403732868647487
270,Serpinb9f,13.089715541637197,21.662233,0.24873427917722432
271,Tgif1,13.184279253712695,21.6602,0.24621422316568967
272,Slx4ip,12.304371933454073,21.653465,0.2702462552146399
273,Fchsd2,17.87521632186921,21.64114,0.14928524325066664
274,Pax9,16.043657166790542,21.639154,0.18137693819272463
275,D5Ertd615e,12.773958613963663,21.630936,0.25671946812083934
276,Mms22l,12.536397577614311,21.60086,0.2628054373730376
277,Cars,12.639130955608822,21.574316,0.25951259474728666
278,Col11a1,17.485206403798,21.571793,0.15468250491414096
279,Amacr,12.161282429444451,21.569683,0.27301488024069276
280,Thra,13.518422589194229,21.567553,0.23615956175494668
281,Pnpt1,13.069289741005871,21.560389,0.24764448156049962
282,Gm16337,17.358040476880724,21.558708,0.156620223554371
283,Adora1,16.27508694417375,21.528263,0.17539330187268654
284,Ppp2r3d,17.888504596986465,21.52381,0.14753562703899675
285,Sync,12.70804850294462,21.507357,0.25652527049725216
286,Gm26566,17.86049294947839,21.504898,0.1477299691357441
287,D330023K18Rik,13.330487803262558,21.480713,0.23956347564407576
288,Ccs,13.405258613538734,21.478836,0.2376212301942781
289,Lsm11,13.397873011945002,21.473837,0.23772993926894367
290,Itgb2,12.66581235926938,21.465864,0.2570133175621972
291,Gm2832,13.395020694225517,21.43514,0.2371868501079066
292,Dynlt1c,13.403994033225336,21.432337,0.2369136992513807
293,Hdhd3,10.64289175198564,21.430103,0.3186891084523558
294,Dctn5,11.846971695306866,21.42622,0.2799501120507239
