,index,group,names,scores,logfoldchanges,pvals,pvals_adj,rank
8611,8312,EB_8d,Gm49455,-2.315507,-0.68812627,0.020774894274427514,0.03681089161619833,-0.9867893486815764
8612,9682,EB_8d,Fbxo30,-3.1248968,-0.6891037,0.0018248326708166637,0.0041413539678764036,-1.6420360756626302
8613,6948,EB_8d,Nrp1,-1.5804081,-0.6893387,0.11430121399785001,0.16545957582743712,-0.5385858929432735
8614,9467,EB_8d,Inhba,-2.994848,-0.6897973,0.0028108345923203064,0.0061064129334219164,-1.5273586827284285
8615,12676,EB_8d,Podxl2,-6.4964523,-0.68992466,1.2371993409288725e-10,6.968813515506171e-10,-6.317530497594063
8616,9393,EB_8d,Lars2,-2.9486032,-0.6901159,0.003258920880682836,0.006983887351333723,-1.4878228451833326
8617,10431,EB_8d,Lrrcc1,-3.6706576,-0.69042414,0.00025347071556763845,0.0006765175721996377,-2.188451852614568
8618,5758,EB_8d,Lair1,-0.9576364,-0.69061667,0.3384662978521197,0.4158135064816903,-0.2631949842806171
8619,7656,EB_8d,Ldah,-1.9501288,-0.6906476,0.05142518545383184,0.08228258457778054,-0.7491399806931632
8620,10482,EB_8d,Trmt61b,-3.7093575,-0.6906589,0.00021812725334434995,0.0005888494401598459,-2.2308253874029145
8621,10157,EB_8d,Mplkip,-3.4693117,-0.6907651,0.000541806333876486,0.0013607587149349035,-1.97988391901456
8622,11619,EB_8d,Cptp,-4.9288397,-0.6908863,9.527732329184012e-07,3.53353847093687e-06,-3.7665672449316916
8623,10904,EB_8d,Tubb3,-4.114164,-0.69106394,4.172861416950024e-05,0.00012527292225426347,-2.696630174073003
8624,9991,EB_8d,Opn3,-3.3401566,-0.6912102,0.0008655681321025083,0.002095601337668577,-1.85153879967716
8625,10415,EB_8d,Mrpl10,-3.65732,-0.69123816,0.0002671872721214208,0.0007107537161129363,-2.1762118849261385
8626,9757,EB_8d,Pcdhga6,-3.1762366,-0.6912898,0.0015331452027861432,0.003532323332364103,-1.695000758273751
8627,10312,EB_8d,Ptger3,-3.5833495,-0.69133294,0.0003540293605828878,0.0009193260616146973,-2.0992534969584247
8628,9293,EB_8d,Slc22a21,-2.8984497,-0.6913425,0.0038269661922570347,0.008058362945229757,-1.4475004986580895
8629,12592,EB_8d,Tent5c,-6.343437,-0.6916677,3.2529011951195293e-10,1.7632342348526581e-09,-6.054644411915429
8630,9640,EB_8d,Pxmp2,-3.1017613,-0.6919426,0.0019729380307150633,0.004439650635048788,-1.6278995265380916
8631,8224,EB_8d,Cirbp,-2.2655613,-0.6920257,0.023676654367090964,0.04138164861195123,-0.9572045874623586
8632,7261,EB_8d,Dhx37,-1.7447953,-0.6924128,0.08131540793878252,0.12308538074572026,-0.6299526773751818
8633,6530,EB_8d,Sh3rf2,-1.359278,-0.6924264,0.17435405853182145,0.23820109079190727,-0.43142058873247296
8634,12001,EB_8d,Sp3,-5.4401784,-0.6924443,6.544876173715881e-08,2.7815240364867553e-07,-4.539469156185717
8635,11654,EB_8d,Sltm,-4.9888053,-0.69247496,7.046243222505219e-07,2.643903364605114e-06,-3.8624552777401044
8636,7443,EB_8d,a,-1.8406003,-0.6924758,0.06595880807556112,0.10246014609383677,-0.6851667339531609
8637,13610,EB_8d,Zbtb32,-9.07808,-0.6932302,4.849101383853183e-19,5.24110988039909e-18,-11.979417869023777
8638,11826,EB_8d,Actr6,-5.221441,-0.69331956,2.124326700879139e-07,8.472571089228526e-07,-4.209825809489812
8639,11690,EB_8d,Nodal,-5.041063,-0.6934062,5.406591973397545e-07,2.052764110036872e-06,-3.943859506923518
8640,6422,EB_8d,Tmem217,-1.3013107,-0.6935157,0.1934346631487657,0.2600458895484668,-0.40567202379142386
8641,9795,EB_8d,Bbs1,-3.2046893,-0.69352174,0.0013918588068502493,0.0032363473081214946,-1.7268308996616886
8642,11304,EB_8d,Recql5,-4.504846,-0.6935719,7.345152748206365e-06,2.465407546329836e-05,-3.196056611161216
8643,12234,EB_8d,Afap1,-5.7820196,-0.6936909,9.635897674237192e-09,4.474565007797813e-08,-5.098107247450692
8644,6813,EB_8d,Slc38a9,-1.5027198,-0.69397676,0.13321847666438247,0.1890393573972979,-0.5020559377743924
8645,11293,EB_8d,Cenpb,-4.4952044,-0.69401336,7.681595713436818e-06,2.5711362478711507e-05,-3.1854344944918975
8646,9271,EB_8d,4930570B17Rik,-2.8855798,-0.6942362,0.003983816416423287,0.008349531317987383,-1.4428574467200037
8647,11553,EB_8d,Mitd1,-4.8298116,-0.69430435,1.5589956405616338e-06,5.662133624115038e-06,-3.6430287156182404
8648,8535,EB_8d,Plcxd3,-2.4380383,-0.69432795,0.014924843135314945,0.027418531843106865,-1.084509571935288
8649,6606,EB_8d,A230059L01Rik,-1.3951468,-0.69446415,0.16325980101856027,0.22513952237854756,-0.44969904978839914
8650,13330,EB_8d,Socs3,-8.0254135,-0.6945053,2.5342079806438653e-15,2.1270196038239584e-14,-9.495434809748424
8651,8210,EB_8d,A930019D19Rik,-2.2617574,-0.6945182,0.023908082807645274,0.04171518244642631,-0.9582308370350262
8652,13029,EB_8d,Secisbp2l,-7.2499633,-0.694811,7.765046754047616e-13,5.3067915726237055e-12,-7.834110579851386
8653,10251,EB_8d,Hinfp,-3.5313206,-0.69496554,0.0004305532560518987,0.0011027130392669776,-2.0553866428294914
8654,11487,EB_8d,Ptpn1,-4.7327743,-0.69523484,2.5011829177354135e-06,8.880063537646017e-06,-3.512037118580583
8655,11023,EB_8d,Sf3b3,-4.240541,-0.69544643,2.4201388084520748e-05,7.521304147416622e-05,-2.8678172131932866
8656,9260,EB_8d,Ehmt1,-2.8798943,-0.695509,0.004055991120469438,0.008487198292228848,-1.4405630705851344
8657,6591,EB_8d,Oca2,-1.3847682,-0.69567484,0.16640442566338529,0.22903693719799662,-0.4452976176303082
8658,7726,EB_8d,Nipal1,-1.9847937,-0.6957686,0.04741929642237147,0.07669184916607487,-0.7759564753277374
8659,8246,EB_8d,Tmem70,-2.2775412,-0.6960532,0.022947061984386237,0.040238473148144854,-0.9712437635845388
8660,13714,EB_8d,Moap1,-9.53023,-0.6962794,9.363734166078812e-21,1.1216209801266427e-19,-13.194601894587239
8661,7783,EB_8d,Lasp1,-2.0187218,-0.69632506,0.04376675008707216,0.07141073684389476,-0.7981531939139512
8662,7181,EB_8d,Sertad4,-1.6966312,-0.696346,0.09005625543924631,0.1347004877052399,-0.6062602841128316
8663,9581,EB_8d,Srrm1,-3.0582407,-0.6966095,0.0022801233507860844,0.005068271712671294,-1.598816398020273
8664,13093,EB_8d,Crybg2,-7.3987994,-0.6966389,2.6867148743857256e-13,1.9162657502683715e-12,-8.16289693672376
8665,9438,EB_8d,Mapk7,-2.9757683,-0.69681376,0.0029892618246735235,0.006458924693564631,-1.5259104949868008
8666,9622,EB_8d,Prkaa2,-3.0905004,-0.69704705,0.002049830911130224,0.004597420973947437,-1.6293375417105957
8667,7851,EB_8d,Zfp280d,-2.0533824,-0.69708425,0.04026932268276008,0.06641991241850338,-0.8209573049658971
8668,12616,EB_8d,Lrrc8dos,-6.3908854,-0.69712526,2.4156168322786775e-10,1.3243545636113206e-09,-6.189075044903449
8669,10835,EB_8d,Sumo2,-4.0341253,-0.69729203,5.856910815951353e-05,0.00017251744266641312,-2.6240263479622894
8670,12100,EB_8d,Qprt,-5.580886,-0.6973157,3.01290565043752e-08,1.3250889846283756e-07,-4.795966462936434
8671,6613,EB_8d,Brap,-1.3996631,-0.6974136,0.1618968803381474,0.22356004228686777,-0.4537413601315848
8672,5537,EB_8d,Stoml3,-0.84346944,-0.69748205,0.3991459417402603,0.47723682828086644,-0.22407730247596602
8673,5880,EB_8d,Gm15755,-1.0258982,-0.69751865,0.3051607478216762,0.3811793451560852,-0.29217008222254387
8674,10305,EB_8d,Gm10550,-3.5786865,-0.6977078,0.0003602722788674837,0.0009341883568470838,-2.113751430648202
8675,11537,EB_8d,Ythdc1,-4.8088284,-0.69788253,1.727153766776843e-06,6.239787566261091e-06,-3.632360081145722
8676,8131,EB_8d,Arhgap9,-2.211203,-0.6979156,0.02722658130393667,0.046863077128312156,-0.9276479365472091
8677,12054,EB_8d,Wipi1,-5.5178213,-0.6980993,4.267539540803352e-08,1.8491814407830426e-07,-4.700316981892105
8678,6828,EB_8d,Gm47644,-1.5088133,-0.6981505,0.13163429403919125,0.18717909993553478,-0.5080739030725513
8679,10980,EB_8d,Hacd4,-4.191468,-0.6982878,2.9925513099555193e-05,9.173416395700001e-05,-2.81931521033285
8680,11800,EB_8d,H2afv,-5.1815424,-0.69835275,2.6101091409759975e-07,1.0321338675668143e-06,-4.1805239311139495
8681,11079,EB_8d,Tsacc,-4.2821608,-0.69840395,2.0125644872808596e-05,6.345113459132685e-05,-2.931592927718614
8682,6898,EB_8d,Rab3b,-1.5545202,-0.6985815,0.12035217401932975,0.17303481665421525,-0.5322258571414359
8683,12510,EB_8d,Gm26788,-6.19878,-0.6986586,8.001009997314343e-10,4.174919471213788e-09,-5.854306144224358
8684,8519,EB_8d,Pkig,-2.4264011,-0.698854,0.015411556749351171,0.028229011382246746,-1.0827375742555163
8685,7644,EB_8d,Lrrc7,-1.9438637,-0.6989764,0.05216678397533731,0.0833209008847788,-0.7543675111725726
8686,11208,EB_8d,Slc30a1,-4.407446,-0.6990771,1.148812378567688e-05,3.7552408266472986e-05,-3.0936695074423186
8687,12376,EB_8d,1700025G04Rik,-5.9888587,-0.6991106,2.8520397491299606e-09,1.4012788193641944e-08,-5.490448142034147
8688,8425,EB_8d,Dcaf5,-2.3694668,-0.6994974,0.01798347564026881,0.0324442288137581,-1.0414554813087162
8689,7472,EB_8d,Parl,-1.8586942,-0.6995021,0.06333606112689744,0.09879134504733239,-0.7031962521925412
8690,10752,EB_8d,Larp1b,-3.950179,-0.6996035,8.302141698087008e-05,0.00023939589189953838,-2.533182626998438
8691,10880,EB_8d,Foxr2,-4.078877,-0.6996974,4.849562276546539e-05,0.00014459233763813165,-2.6867362697652433
8692,8785,EB_8d,Mapk12,-2.5843596,-0.699763,0.009888677014638813,0.01897146339732053,-1.2049213273403265
8693,13715,EB_8d,Afm,-9.537888,-0.6999051,8.749033922307055e-21,1.0506143740092595e-19,-13.283188550410243
8694,12236,EB_8d,4921536K21Rik,-5.783371,-0.6999629,9.50364531734374e-09,4.417429451867756e-08,-5.14810850302407
8695,10036,EB_8d,Lonp2,-3.3780112,-0.70008504,0.000756348042188128,0.0018495364499266378,-1.9132883934027547
8696,11109,EB_8d,Arhgef15,-4.3153114,-0.70014256,1.7386190570043245e-05,5.527463813052865e-05,-2.9808388200506735
8697,8596,EB_8d,BC005537,-2.4663122,-0.7002237,0.013803083041144904,0.025612169821992853,-1.1144435446445784
8698,11149,EB_8d,Gal3st4,-4.3514533,-0.700351,1.480326020720032e-05,4.758876007615281e-05,-3.027264122643107
8699,10920,EB_8d,Stk33,-4.1263022,-0.70037025,3.9767909512906314e-05,0.00011988708010324188,-2.7463111748473334
8700,12258,EB_8d,Tbc1d10b,-5.810594,-0.7004667,8.137119433852058e-09,3.816778616739344e-08,-5.1962741866831275
8701,13012,EB_8d,Tbl2,-7.203307,-0.7004774,1.0768152224227572e-12,7.276215965135644e-12,-7.801983656731342
8702,11043,EB_8d,Elmod2,-4.2532635,-0.70071304,2.2874899506466784e-05,7.143006388105733e-05,-2.9052396152501947
8703,11367,EB_8d,Olfml3,-4.593458,-0.70090705,4.854744490496258e-06,1.6632615918142215e-05,-3.349662443987693
8704,10207,EB_8d,Atr,-3.502154,-0.70112556,0.00048027925630760525,0.0012185709667092081,-2.0431844775455614
8705,11862,EB_8d,Gramd3,-5.2711554,-0.70119774,1.6312930609389752e-07,6.593925814742371e-07,-4.334002239760622
8706,12693,EB_8d,Atxn7l3,-6.531955,-0.70126265,9.824048810828876e-11,5.590536637364882e-10,-6.48846530586695
8707,6737,EB_8d,E230014E18Rik,-1.4625236,-0.70144355,0.1439005233383106,0.2021436313587478,-0.4870402722318901
8708,12060,EB_8d,Zfp524,-5.5222907,-0.7014952,4.166146134707152e-08,1.809606832545202e-07,-4.729772102643569
8709,9945,EB_8d,Kcnt2,-3.3024666,-0.7018304,0.0009900440113855074,0.0023737955246319847,-1.8419936400504406
8710,8267,EB_8d,Atg4b,-2.290892,-0.70205057,0.02216920415938736,0.039007604089646104,-0.9890844491008259
8711,6019,EB_8d,Atp13a2,-1.0944817,-0.7021204,0.2739882192048215,0.3489989836621713,-0.3209924927454964
8712,11374,EB_8d,Trib3,-4.6012297,-0.7021417,4.683325101844337e-06,1.608362733710495e-05,-3.365797696548341
8713,10201,EB_8d,Xbp1,-3.4965618,-0.70242006,0.0004900538633686175,0.0012410226242963816,-2.041387426245511
8714,12502,EB_8d,Scp2,-6.19243,-0.70248115,8.312231581852137e-10,4.33103091403567e-09,-5.875136978227706
8715,8589,EB_8d,Cutc,-2.4628077,-0.7025224,0.013938653832162567,0.025827083208332133,-1.1155526232006672
8716,11447,EB_8d,Impa2,-4.687976,-0.70252264,3.114457523180787e-06,1.0919472742729094e-05,-3.4857756404327938
8717,12265,EB_8d,Rgs12,-5.819121,-0.70252806,7.716194243478779e-09,3.627619947277311e-08,-5.227074471801782
8718,9907,EB_8d,Srr,-3.273948,-0.7026372,0.001093246685124124,0.002599577985486884,-1.8163854114520863
8719,10837,EB_8d,Nit1,-4.036057,-0.7026718,5.812545631091497e-05,0.00017131588086228698,-2.6464043004619104
8720,12512,EB_8d,Mgll,-6.200567,-0.702873,7.904899763964207e-10,4.1292624547708455e-09,-5.892976786425789
8721,10390,EB_8d,Zfp398,-3.6344519,-0.70294595,0.00029133374060435964,0.0007701446512925979,-2.1885713825049447
8722,6434,EB_8d,Itgae,-1.3071688,-0.7029658,0.19142883210651387,0.2577742251258138,-0.41387850053833486
8723,11937,EB_8d,Mocs1,-5.3680744,-0.7030186,9.691460439419112e-08,4.0225432741339683e-07,-4.496154983198076
8724,11641,EB_8d,Utp4,-4.9667344,-0.70327663,7.8853050727713e-07,2.947207034993191e-06,-3.8895342666900787
