,0
527,Fbxo34
528,Apold1
529,Map3k21
530,Gm42658
531,Slc26a11
532,Dock1
533,Tgfbrap1
534,Rgs17
535,Ptprtos
536,Erich6b
537,Nudt10
538,Jkamp
539,Slc39a9
540,Fendrr
541,Psd
542,1700013F07Rik
543,Flnc
544,Dlgap2
545,Dpm3
546,Ddx24
547,Txndc16
548,Rnf150
549,4931403E22Rik
550,Tcim
551,BC048559
552,1700040L08Rik
553,Pax5
554,Acta2
555,Kcng2
556,Gm11100
557,D230022J07Rik
558,Mex3c
559,Mtx3
560,Dnm3os
561,Cdc42bpg
562,Ddhd2
563,Gm21798
564,Mrrf
565,Bms1
566,Zbtb33
567,Gm48395
568,Tex30
569,Ttc17
570,Fastkd5
571,Gabarapl2
572,Gckr
573,Tmem200a
574,Riiad1
575,Clic4
576,Phrf1
577,Spink1
578,Rps25
579,Zkscan8
580,1700024B18Rik
581,Catsper3
582,Ccdc194
583,Map3k1
584,Ppef1
585,Dhx33
586,Fgd3
587,Tmem11
588,Gm17066
589,Fam168a
590,Lmbr1l
591,Bscl2
592,Ubxn1
593,9330020H09Rik
594,Gm20650
595,Nelfb
596,Grk4
597,H2-Ke6
598,Gm47782
599,Nr5a2
