,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Fc epsilon RI signaling pathway Homo sapiens hsa04664,0.5020301,-0.27939504,0.35827717,0.30925345,0.5851641,0.5366045,0.8677251,-0.95272875,0.85821044,0.97158706,0.99342775,0.9765436,0.845,0.48868778,0.801,0.5177305,0.519,0.618
Fc gamma R-mediated phagocytosis Homo sapiens hsa04666,0.5425499,0.3248128,0.41876456,0.37746868,0.6782675,0.6271286,0.9475737,0.9727923,1.0190431,1.2841059,1.1607687,1.152699,0.685,0.5153061,0.452,0.11469534,0.004,0.007
Focal adhesion Homo sapiens hsa04510,0.51366544,0.27109915,0.32150877,0.22115648,0.5395063,0.50386715,0.9110874,0.902876,0.8114056,0.8542519,0.9476052,0.95315886,0.888,0.6542373,0.974,0.812398,0.935,0.876
FoxO signaling pathway Homo sapiens hsa04068,0.6387965,0.2561271,0.3733343,-0.2728594,0.60210496,0.56146955,1.1253684,0.811059,0.92494327,-1.0443677,1.0450639,1.0476601,0.085,0.781362,0.745,0.34313726,0.158,0.16
Fructose and mannose metabolism Homo sapiens hsa00051,0.5974364,-0.241125,0.31192905,-0.49034947,0.57065433,0.5302778,1.0069407,-0.68822414,0.71279395,-1.3895191,0.93079114,0.9264577,0.507,0.88235295,0.9096386,0.08685969,0.777,0.764
GABAergic synapse Homo sapiens hsa04727,0.5031076,0.30182973,0.43543872,0.27770504,0.6211841,0.5855441,0.88153154,0.92271495,1.0682546,0.9460127,1.0656962,1.0791141,0.866,0.60700876,0.309,0.5576923,0.118,0.095
Galactose metabolism Homo sapiens hsa00052,0.6787056,-0.3143903,0.23211175,-0.34377733,0.7090244,0.6686938,1.1406406,-0.8871617,0.52664053,-0.9695912,1.1440818,1.1474688,0.21765296,0.56104654,0.98178136,0.47897196,0.081,0.0950951
Gap junction Homo sapiens hsa04540,0.5975334,0.26479933,0.47815147,-0.22240396,0.60143703,0.5655429,1.0435698,0.7970916,1.1562254,-0.775457,1.0294522,1.0420036,0.359,0.7752809,0.127,0.8863109,0.297,0.257
Gastric acid secretion Homo sapiens hsa04971,0.5342317,0.45096612,0.5266869,-0.22529545,0.60280645,0.5887663,0.92116827,1.2887409,1.267098,-0.7545504,1.02221,1.0702991,0.737,0.13219896,0.044,0.89726025,0.357,0.161
Glioma Homo sapiens hsa05214,0.5663145,0.33486164,0.46587658,0.26595277,0.6212352,0.5679745,0.97627395,0.9696488,1.1175065,0.85565394,1.0579387,1.0375419,0.585,0.49612403,0.239,0.71428573,0.185,0.283
Glucagon signaling pathway Homo sapiens hsa04922,0.54177123,0.15848364,0.42101264,-0.31332302,0.5882336,0.5530977,0.9493232,0.48547688,1.0368618,-1.1440059,1.0141503,1.0241942,0.699,0.99876237,0.414,0.20657277,0.384,0.343
Glutamatergic synapse Homo sapiens hsa04724,0.52501696,0.4345241,0.4722278,0.2540226,0.56298923,0.504542,0.920609,1.3530924,1.1662745,0.9170545,0.9734711,0.9368035,0.794,0.06377858,0.073,0.6385135,0.7,0.887
Glutathione metabolism Homo sapiens hsa00480,0.67864454,0.17142852,0.28420508,-0.29633653,0.6143584,0.5732148,1.1677608,0.47943565,0.6694445,-0.9439403,1.0292932,1.0294832,0.138,0.9972603,0.95791584,0.53539824,0.324,0.338
Glycerolipid metabolism Homo sapiens hsa00561,0.63884383,0.40508986,0.39547768,0.38931578,0.54618376,0.5042333,1.1020135,1.1266925,0.93690884,1.1889961,0.91549075,0.90480304,0.235,0.30748662,0.655,0.22003578,0.87,0.871
Glycerophospholipid metabolism Homo sapiens hsa00564,0.5412551,-0.26949042,0.39750776,-0.32618463,0.5703417,0.5337831,0.9466412,-0.9601233,0.9713015,-1.1646388,0.98264587,0.9871101,0.69,0.43085107,0.595,0.18648018,0.615,0.558
"Glycine, serine and threonine metabolism Homo sapiens hsa00260",0.7265184,0.39886355,0.36372918,0.40440905,0.6482233,0.6029636,1.2369256,1.0506715,0.8365988,1.1369119,1.0677438,1.0590855,0.082,0.4152203,0.7995972,0.2881041,0.216,0.257
Glycolysis / Gluconeogenesis Homo sapiens hsa00010,0.66647154,-0.27740845,0.37326524,-0.34576458,0.5859346,0.51174754,1.1626835,-0.92768294,0.8937661,-1.142921,0.9898646,0.9260784,0.105,0.48672566,0.747,0.24090908,0.537,0.855
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,0.5280615,0.5715849,0.4314469,0.45289364,0.7836801,0.78114057,0.8843373,1.3889633,0.956876,1.1887676,1.2596927,1.3418504,0.7267267,0.10735294,0.5866935,0.2606383,0.006,0.002
Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534,0.5960601,0.35075697,0.59894466,0.25611755,0.5967742,0.5465008,1.0099975,0.8877766,1.3695774,0.6827423,0.97596484,0.95620763,0.489,0.6108727,0.03521127,0.89279115,0.583,0.659
