,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Base excision repair Homo sapiens hsa03410,0.66589445,0.23268214,0.53884965,0.4712328,0.6950502,0.6850381,1.1329625,0.73114043,1.2345849,1.3837926,0.9593336,0.96853197,0.188,0.9041096,0.11222445,0.08908046,0.731,0.674
Bile secretion Homo sapiens hsa04976,0.5680546,0.36551535,0.43979537,0.17705956,0.75341636,0.74569666,0.9719316,1.2219398,1.0264509,0.56193525,1.0601346,1.074643,0.569,0.14754099,0.454,0.9971014,0.13,0.089
Biosynthesis of amino acids Homo sapiens hsa01230,0.5851799,-0.22890599,0.48413882,0.31322074,0.7694766,0.7574005,1.0146583,-0.6698522,1.1404585,1.0374024,1.0853865,1.093485,0.473,0.9566879,0.191,0.3869969,0.044,0.043
Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,0.467512,-0.3019684,0.44571874,0.4403763,0.69759977,0.6739263,0.78177035,-0.7074163,0.96183527,1.0836767,0.93789464,0.92345124,0.8517034,0.85451764,0.5967078,0.33415842,0.77,0.8078078
Bladder cancer Homo sapiens hsa05219,0.6683212,-0.29100153,0.41462138,-0.4339029,0.67383355,0.6656548,1.1439694,-0.78653294,0.9457465,-1.154653,0.9361401,0.9486469,0.18,0.8061497,0.6469408,0.2597809,0.859,0.799
Butanoate metabolism Homo sapiens hsa00650,0.37981552,0.40963504,0.56192964,0.24705815,0.63046664,0.60526633,0.6375376,1.2177955,1.2500488,0.68859506,0.86294854,0.8465289,0.987,0.20608108,0.10775428,0.92167103,0.99,0.994
Calcium signaling pathway Homo sapiens hsa04020,0.49025178,-0.30603707,0.46293163,-0.2361997,0.6911032,0.6755245,0.86807126,-1.0042802,1.1373318,-0.7909808,0.996327,0.99803185,0.959,0.4669653,0.084,0.88318354,0.531,0.511
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.547326,-0.31951928,0.38492334,-0.3701454,0.7269308,0.71426624,0.9331421,-0.8268404,0.8779764,-0.96547586,1.0078276,1.0113294,0.669,0.73480666,0.75951904,0.49605057,0.442,0.426
Carbon metabolism Homo sapiens hsa01200,0.568538,0.23825541,0.4082026,0.2998265,0.7220378,0.70959955,0.9953917,0.93692577,0.98819,1.0928029,1.0324297,1.0394208,0.519,0.6441718,0.56,0.25650558,0.181,0.137
Cardiac muscle contraction Homo sapiens hsa04260,0.52553016,-0.30309215,0.51248837,0.18210077,0.72605133,0.7155461,0.91228265,-0.89931804,1.223218,0.6230963,1.032437,1.0428971,0.771,0.63899374,0.047,1.0,0.214,0.153
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.49917603,-0.4166589,0.48306137,-0.3386967,0.7116892,0.68916017,0.88021225,-1.3204192,1.1625195,-1.0699623,1.0202384,1.0117321,0.882,0.0548926,0.08,0.36037233,0.282,0.344
Cell cycle Homo sapiens hsa04110,0.611358,0.2470442,0.36589482,0.2690057,0.6676112,0.65899783,1.0748632,0.99998075,0.8898992,1.0152411,0.9608461,0.97080076,0.201,0.4090909,0.836,0.41563785,0.893,0.828
Central carbon metabolism in cancer Homo sapiens hsa05230,0.60369366,-0.2766652,0.33997908,-0.2922047,0.6761683,0.6490496,1.0517677,-0.8252243,0.8051674,-0.88229245,0.9561717,0.9410138,0.341,0.76962024,0.891,0.65656567,0.835,0.898
Chagas disease (American trypanosomiasis) Homo sapiens hsa05142,0.6647678,0.26857406,0.34456927,-0.32525274,0.70348084,0.6870056,1.163718,1.0153503,0.8279232,-1.0203276,1.0025195,1.0020818,0.063,0.42696628,0.905,0.40756303,0.456,0.458
Chemical carcinogenesis Homo sapiens hsa05204,0.6087049,-0.18942961,0.46374598,0.25057647,0.78772545,0.76592547,1.046519,-0.5016979,1.0629404,0.7428023,1.097658,1.0906754,0.394,0.9918367,0.38314945,0.89534885,0.056,0.072
Chemokine signaling pathway Homo sapiens hsa04062,0.5759664,-0.32378364,0.43163213,-0.36004117,0.64044803,0.62255704,1.0165572,-1.0592623,1.0532445,-1.1983832,0.9222717,0.91876376,0.435,0.356492,0.308,0.16558862,0.997,0.999
Choline metabolism in cancer Homo sapiens hsa05231,0.5353155,-0.28570995,0.4151433,-0.4004899,0.7328215,0.7105406,0.9417534,-0.8980647,1.0031053,-1.2784309,1.0500453,1.043414,0.728,0.66150177,0.5,0.10096819,0.079,0.109
Cholinergic synapse Homo sapiens hsa04725,0.52502626,-0.3606451,0.4272054,-0.3001457,0.6988218,0.68049407,0.924664,-1.1275041,1.033718,-0.9565043,0.9996944,0.998235,0.788,0.25650117,0.414,0.5377229,0.492,0.51
Chronic myeloid leukemia Homo sapiens hsa05220,0.60342455,-0.33008084,0.40219656,-0.40431714,0.68565714,0.6598731,1.0569499,-0.9994068,0.95791656,-1.2482963,0.9754516,0.9611184,0.312,0.48019803,0.626,0.14265734,0.715,0.824
Circadian entrainment Homo sapiens hsa04713,0.5041677,-0.38454184,0.42188907,0.32464138,0.6991873,0.6773552,0.88145936,-1.1861496,1.0092174,1.1628824,0.99635804,0.9893337,0.869,0.19760479,0.487,0.18275861,0.532,0.617
Circadian rhythm Homo sapiens hsa04710,0.5669238,0.4352162,0.4848779,0.39110366,0.7571634,0.7331339,0.96277094,1.3220234,1.0998673,1.1409864,1.0428365,1.0367124,0.5955956,0.11929824,0.3172691,0.24581006,0.259,0.272
Citrate cycle (TCA cycle) Homo sapiens hsa00020,0.72462577,0.17042015,0.572315,0.39310166,0.73384684,0.71811944,1.2221451,0.50787944,1.2935171,1.1443144,1.005113,1.0069386,0.088,0.9968553,0.067336686,0.27445653,0.464,0.422
Cocaine addiction Homo sapiens hsa05030,0.4201392,-0.41210315,0.44531372,-0.41678143,0.7848665,0.77195144,0.7219582,-1.1648567,1.0426774,-1.1739551,1.1036733,1.1111144,0.98,0.22467533,0.418,0.24311927,0.025,0.019
Collecting duct acid secretion Homo sapiens hsa04966,0.7055796,0.3382267,0.41336885,-0.21669424,0.7014298,0.6939533,1.16766,0.9311155,0.9067593,-0.52278924,0.95600337,0.9674046,0.18618618,0.5481928,0.6819106,0.9794872,0.709,0.655
Colorectal cancer Homo sapiens hsa05210,0.52883255,0.29556382,0.19881938,0.2718659,0.6795645,0.67029864,0.91817904,1.0774245,0.4727281,0.9295801,0.9628512,0.97459334,0.749,0.2835821,0.999,0.592233,0.809,0.719
Complement and coagulation cascades Homo sapiens hsa04610,0.5927929,-0.32187724,0.58202386,-0.23142418,0.6691306,0.63347554,1.0186006,-0.90809757,1.3481616,-0.65237886,0.9382978,0.9096809,0.456,0.62087184,0.013,0.9654135,0.891,0.969
Cysteine and methionine metabolism Homo sapiens hsa00270,0.63120663,-0.25678632,0.27774894,-0.37096158,0.7120164,0.6946593,1.0871948,-0.6985526,0.63139206,-1.0103354,0.9920829,0.9894207,0.289,0.8918539,0.962963,0.43243244,0.515,0.54
Cytokine-cytokine receptor interaction Homo sapiens hsa04060,0.5792107,-0.30565614,0.40747288,-0.29314008,0.6756101,0.6655724,1.0256203,-1.0057983,1.0016145,-0.99709785,0.9744834,0.98415536,0.37,0.46503884,0.521,0.47044024,0.828,0.727
Cytosolic DNA-sensing pathway Homo sapiens hsa04623,0.64674646,-0.43079168,0.40933916,-0.41826013,0.7008521,0.6811179,1.1092534,-1.1707884,0.9482166,-1.1556401,0.9805828,0.97507495,0.237,0.24410541,0.6316316,0.24763407,0.627,0.652
