,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
Endocytosis Homo sapiens hsa04144,0.50992274,0.33540002,0.32334772,0.20115145,0.3578239,0.25126094,0.9986232,1.2959682,1.2958704,0.8927018,0.9946953,1.0900247,0.512,0.075250834,0.015,0.76086956,0.524,0.197
Endometrial cancer Homo sapiens hsa05213,0.58746564,0.2521723,0.28516266,-0.25212672,0.33473125,0.19127809,1.1090981,0.7515722,0.9890631,-0.7854513,0.8469289,0.7009103,0.273,0.83425415,0.51158106,0.7736486,0.851,0.9468405
Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120,0.4541181,0.3068338,0.27803054,0.22159398,0.35083142,0.23628132,0.87131387,0.97566104,1.0103549,0.7850507,0.91743654,0.90400064,0.781,0.46819788,0.477,0.81933844,0.741,0.672
Epstein-Barr virus infection Homo sapiens hsa05169,0.54232186,-0.26194626,0.24503261,-0.29584008,0.31080782,0.22647509,1.0526768,-0.9892012,0.9644797,-1.1711305,0.8590437,0.9632177,0.296,0.442029,0.602,0.18025078,0.952,0.606
ErbB signaling pathway Homo sapiens hsa04012,0.50957996,0.2113653,0.19474965,0.25911757,0.27555746,0.22315809,0.98276335,0.70429915,0.7244977,0.9630455,0.7304123,0.8819963,0.552,0.9375,0.917,0.5109489,0.992,0.745
Estrogen signaling pathway Homo sapiens hsa04915,0.5353024,0.23414809,0.30749553,-0.30079865,0.31775612,0.27158505,1.0241063,0.7578648,1.1441635,-1.0360897,0.83637494,1.0589565,0.46,0.8524306,0.254,0.3839733,0.925,0.35
Ether lipid metabolism Homo sapiens hsa00565,0.33848938,0.36808124,0.25395668,0.33961165,0.38339305,0.24964894,0.6233303,0.93364173,0.78341687,0.9313015,0.9035701,0.7862851,0.93629926,0.53497165,0.7700312,0.5410959,0.6963928,0.8020725
Fanconi anemia pathway Homo sapiens hsa03460,0.5442907,-0.29030168,0.22043766,0.32447577,0.37511915,0.25530323,1.0241666,-0.8804061,0.75148094,1.0345442,0.9497095,0.92755455,0.467,0.6289593,0.8308004,0.4278607,0.622,0.6179435
Fat digestion and absorption Homo sapiens hsa04975,0.5463162,-0.39235625,0.4596419,0.3268589,0.3445912,0.2124637,0.9883038,-0.9715795,1.3519044,0.8359845,0.7884436,0.6528458,0.5233266,0.49691993,0.12048193,0.6758621,0.86002016,0.93592435
Fatty acid degradation Homo sapiens hsa00071,0.6391715,0.5030657,0.3230553,0.4901489,0.5831741,0.42949766,1.1983613,1.415076,1.0819696,1.5098716,1.4527655,1.5160248,0.151,0.08377896,0.37512743,0.039534885,0.002,0.01814516
Fatty acid elongation Homo sapiens hsa00062,0.7106463,0.47538686,0.3401007,0.5206701,0.34931326,0.20472158,1.277787,1.1274287,0.9884562,1.3217688,0.79666674,0.6254561,0.12348178,0.32841328,0.50926936,0.14508928,0.8500507,0.95005316
Fatty acid metabolism Homo sapiens hsa01212,0.64131325,0.4913599,0.29979318,0.44925395,0.5941648,0.4338775,1.2017798,1.3526865,1.0099388,1.3965684,1.4871931,1.5365367,0.16,0.11272727,0.48877552,0.07990868,0.0,0.014155713
Fc epsilon RI signaling pathway Homo sapiens hsa04664,0.5224529,-0.16822225,0.14640298,-0.26177457,0.28753793,0.22588466,0.987919,-0.5164388,0.51138264,-0.81838775,0.73466104,0.8310784,0.539,0.99071926,0.97283703,0.7431507,0.984,0.7811245
